Quarter end,Shares,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Goodwill & intangibles,Long-term debt,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Dividend per share,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Capital expenditures,Price,Price high,Price low,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Dividend payout ratio,Long-term debt to equity ratio,Equity to assets ratio,Net margin,Asset turnover,Free cash flow per share,Current ratio,Adj Close,Beta,Correlation,Cumulative Return,Date,Kurtosis,SPY Cumulative Return,Sharpe Ratio,Standard Deviation,Target,Ticker Name
2008-04-30,360108255,7674000000,5185000000,4518000000,3044000000,3156000000,867000000,622000000,1456000000,173000000,173000000,0.48,0.47,0.0,325000000,-16000000,2000000,325000000,1710000000,37000000,31.82,34.86,28.79,0.2048,0.0886,8.76,3.66,20.8,2.06,0,0.1971,0.4113,0.1161,0.76,0.8,1.7034,20.348377,0.9672211172183063,0.6338372712325998,-0.1210357711252038,2008-4-30,6.39319684185265,-0.06528736369896637,-0.031204056154767366,0.01872010105364362,-1,A
2008-07-31,357541353,7541000000,5074000000,4356000000,2894000000,3185000000,883000000,604000000,1444000000,169000000,169000000,0.47,0.45,0.0,169000000,-60000000,-176000000,-70000000,1640000000,39000000,33.95,38.0,29.89,0.2014,0.085,8.91,3.88,19.97,2.06,0,0.1896,0.4224,0.1119,0.76,0.36,1.7533,24.288726999999998,0.931500720275902,0.6257137536397942,-0.054783443389963216,2008-7-31,6.391895029151171,-0.12911007058332713,-0.016410872456461195,0.019446484299145556,-1,A
2008-10-31,351980707,7437000000,3208000000,4878000000,1325000000,2559000000,874000000,2125000000,1481000000,231000000,231000000,0.65,0.65,0.0,258000000,-28000000,-432000000,-235000000,1405000000,44000000,28.0,37.25,18.75,0.2296,0.0921,7.27,3.14,16.47,2.06,0,0.8304,0.3441,0.12,0.77,0.61,2.4211,14.946389000000002,0.9995929413378737,0.8261802685023559,-0.39782906630762427,2008-10-31,5.779808922831445,-0.37474990197772684,-0.0640107910874328,0.026422361550262927,1,A
2009-01-31,345256316,7162000000,3008000000,4591000000,1130000000,2571000000,872000000,2154000000,1166000000,64000000,64000000,0.18,0.18,0.0,17000000,-11000000,-49000000,-43000000,1362000000,34000000,19.91,25.07,14.76,0.2221,0.0855,7.45,2.74,10.59,2.06,0,0.8378,0.359,0.1148,0.74,-0.05,2.6619,12.17804,0.9716349702263677,0.8207228470531719,-0.46603658781751,2009-1-31,2.999584951524284,-0.40090676751337884,-0.06282512460694444,0.03126370800787766,1,A
2009-04-30,343353951,6576000000,2883000000,4157000000,1099000000,2419000000,837000000,2154000000,1091000000,-101000000,-101000000,-0.29,-0.29,0.0,137000000,-17000000,-81000000,38000000,1400000000,34000000,15.86,19.69,12.02,0.1353,0.0506,7.05,2.13,9.06,2.06,0,0.8905,0.3679,0.0701,0.72,0.3,2.6233,12.299283,1.0228560711073316,0.8254266312267067,-0.39556442265641134,2009-4-30,1.7955394656018084,-0.37008060146417077,-0.04803674780554425,0.03502022446306169,1,A
2009-07-31,345112058,6573000000,2897000000,4084000000,991000000,2489000000,820000000,2153000000,1057000000,-19000000,-19000000,-0.06,-0.06,0.0,41000000,-6000000,26000000,79000000,1479000000,30000000,20.58,23.89,17.26,0.0697,0.0252,7.21,2.92,20.79,2.06,0,0.865,0.3787,0.0365,0.69,0.03,2.9233,15.64016,1.0500652754900897,0.8337754492156677,-0.35607329276664024,2009-7-31,1.2693729525824695,-0.22084933003183993,-0.042389913020516874,0.035958865268933146,1,A
2009-10-31,348831278,7612000000,3961000000,5106000000,1123000000,2506000000,822000000,2904000000,1167000000,25000000,25000000,0.08,0.08,0.0,213000000,20000000,761000000,1000000000,2479000000,29000000,26.26,29.38,23.14,-0.0124,-0.0044,7.18,3.64,54.71,2.06,None,1.1588,0.3292,None,0.64,0.53,3.5272,16.663975,1.0571096702427418,0.7703841402060622,0.1149164523952908,2009-10-31,1.1484466418312742,0.06961542296774192,0.011615387318120065,0.030964598917858098,1,A
2010-01-31,348145821,7574000000,5519000000,4976000000,2549000000,2590000000,805000000,1410000000,1213000000,79000000,79000000,0.23,0.22,0.0,30000000,-31000000,3000000,2000000,2481000000,25000000,28.23,31.77,24.69,-0.0064,-0.0023,7.44,3.93,None,2.06,None,0.5444,0.342,None,0.64,0.01,2.1652,18.880007,1.2310763977196006,0.7912212972832693,0.5546313133097223,2010-1-31,2.329837106406298,0.30096674791392064,0.08511746724983826,0.024889430121558444,1,A
2010-04-30,348062907,7767000000,5712000000,5135000000,2709000000,2624000000,770000000,1393000000,1271000000,108000000,108000000,0.31,0.31,0.0,225000000,-2000000,-59000000,165000000,2646000000,28000000,32.78,37.43,28.13,0.0756,0.0261,7.54,4.41,None,2.06,0,0.5309,0.3378,0.041,0.64,0.57,2.1085,24.423439000000002,1.1816134123017619,0.7371599628924059,0.9857612025026175,2010-4-30,1.7115450548273596,0.3596200131978782,0.21566727397121702,0.017819322974905145,1,A
2010-07-31,346370351,9100000000,5735000000,6290000000,2917000000,2802000000,1912000000,2177000000,1384000000,205000000,205000000,0.59,0.58,0.0,90000000,-1098000000,674000000,-329000000,2317000000,27000000,31.81,36.89,26.74,0.1585,0.052,8.09,4.22,57.84,2.06,0,0.7769,0.3079,0.0828,0.63,0.18,1.9661,18.812647,1.225550181524343,0.7772122687737989,0.20284236222647323,2010-7-31,2.7326898934813117,0.11556689584734658,0.03833578288208108,0.018556278114732372,1,A
2010-10-31,347604202,9696000000,6169000000,6460000000,3083000000,3228000000,1950000000,2190000000,1576000000,292000000,292000000,0.84,0.83,0.0,373000000,-43000000,-17000000,332000000,2649000000,34000000,31.0,35.33,26.68,0.2433,0.0801,9.29,3.83,26.05,2.06,0,0.6784,0.3329,0.1256,0.64,0.98,2.001,23.440037,1.3314006718933673,0.7935760395395905,0.38811357380468015,2010-10-31,2.333177813423658,0.13460801274064127,0.07550653628908804,0.019236139897316738,-1,A
2011-01-31,345122160,8044000000,4598000000,4705000000,1406000000,3332000000,1915000000,2138000000,1519000000,193000000,193000000,0.56,0.54,0.0,120000000,1500000000,-1634000000,-11000000,2638000000,38000000,39.42,44.45,34.38,0.2663,0.0922,9.65,4.24,20.32,2.06,0,0.6417,0.4142,0.1388,0.66,0.24,3.2703,28.175194,1.3601512825150912,0.7863404970347452,0.43597662658973135,2011-1-31,2.2176185467843696,0.18080414314072324,0.08556333608333012,0.019212744402087423,-1,A
2011-04-30,348045143,8649000000,5096000000,4688000000,1592000000,3953000000,2048000000,2144000000,1677000000,200000000,200000000,0.58,0.56,0.0,378000000,-126000000,68000000,337000000,2975000000,51000000,47.47,50.68,44.26,0.2674,0.1003,11.36,4.92,21,2.06,0,0.5424,0.457,0.1446,0.69,0.94,3.201,33.617584,1.466311024516373,0.7478741432247366,0.3764476001925854,2011-4-30,1.9612880673086037,0.1490870006456051,0.06496234425065989,0.0216400811421774,-1,A
2011-07-31,347214336,8753000000,5223000000,4553000000,1505000000,4192000000,2042000000,2168000000,1691000000,330000000,330000000,0.95,0.92,0.0,252000000,-32000000,-97000000,126000000,3101000000,32000000,48.31,55.33,41.29,0.2761,0.1155,12.07,4.25,19.25,2.06,0,0.5172,0.4789,0.157,0.74,0.63,3.4704,28.397471999999997,1.6040046773238772,0.6895550984112344,0.46287382522448706,2011-7-31,2.17264796717234,0.14781593290217154,0.08827944055905071,0.019840353425510906,-1,A
2011-10-31,348125173,9057000000,5569000000,4741000000,1837000000,4308000000,1996000000,1932000000,1728000000,289000000,289000000,0.83,0.83,0.0,510000000,-48000000,-30000000,426000000,3527000000,49000000,35.73,42.78,28.67,0.2564,0.1173,12.37,2.96,12.54,2.06,0,0.4485,0.4757,0.153,0.77,1.32,3.0316,24.969025,1.7539787156605802,0.8182521956739257,0.06676272890526769,2011-10-31,2.465082086850967,0.05819082026802702,0.0057610780607190515,0.028996467997904684,-1,A
2012-01-31,347625239,9099000000,5715000000,4600000000,1705000000,4496000000,2012000000,1929000000,1635000000,230000000,230000000,0.66,0.65,0.1,150000000,-23000000,8000000,135000000,3662000000,46000000,39.42,44.45,34.38,0.2476,0.118,12.93,3.19,13.83,2.16,0.0331,0.429,0.4941,0.1558,0.76,0.3,3.3519,28.606265999999998,1.763714886121283,0.8310922676092592,0.015299699444837778,2012-1-31,1.5983060996294691,0.02044135780658629,-0.0012527038644851703,0.030973962259304766,-1,A
